"RECORD_TYPE_CODE","RECORD_CATEGORY_CODE","REINSURANCE_YEAR","COMMODITY_CODE","PRACTICE_CODE","PRACTICE_NAME","PRACTICE_ABBREVIATION","LAST_RELEASED_DATE","RELEASED_DATE","DELETED_DATE"
"A00510","01","2023","0011","002","Irrigated","IRRIGATED","","6/17/2022",""
"A00510","01","2023","0011","003","Non-Irrigated","NON IRR","","6/17/2022",""
"A00510","01","2023","0011","004","Continuous Cropping","CONT CROP","","6/17/2022",""
"A00510","01","2023","0011","715","Continuous Cropping(OC)","CONTCROPOC","","6/17/2022",""
"A00510","01","2023","0011","717","Summerfallow(OC)","SUMFALL OC","","6/17/2022",""
"A00510","01","2023","0011","718","Summerfallow(OT)","SUMFALL OT","","6/17/2022",""
"A00510","01","2023","0011","721","Water Fallow(OC)","H2OFALL OC","","6/17/2022",""
"A00510","01","2023","0012","002","Irrigated","IRRIGATED","","8/9/2022",""
"A00510","01","2023","0012","003","Non-Irrigated","NON IRR","","8/9/2022",""
"A00510","01","2023","0012","032","Irr. With Frost Protection","IRR W/FP","","8/9/2022",""
"A00510","01","2023","0012","168","Irr. Container","IRR CNTNR","","8/9/2022",""
"A00510","01","2023","0012","713","Organic(Certified) Non-Irr.","NON-IRROC","","8/9/2022",""
"A00510","01","2023","0012","793","Irr. With Frost Protection(OC)","IRRW/FP OC","","8/9/2022",""
"A00510","01","2023","0012","795","Irr. Without Frost Protection(OC)","IRRW/OFPOC","","8/9/2022",""
"A00510","01","2023","0013","010","Irrigated Without Cover Crop","IRR W/O CC","","11/16/2022",""
"A00510","01","2023","0013","320","Spring Planted Irr.","SPR PL IRR","","6/17/2022",""
"A00510","01","2023","0013","702","Organic(Certified) Irr.","IRR OC","","6/17/2022",""
"A00510","01","2023","0013","763","Spring Planted Irr.(OC)","SPR PLT OC","","6/17/2022",""
"A00510","01","2023","0013","797","Irrigated Without Cover Crop(OC)","I WO CC OC","","11/16/2022",""
"A00510","01","2023","0013","799","Non-Irr. Without Cover Crop(OC)","NIWO CC OC","","11/16/2022",""
"A00510","01","2023","0013","818","Fall Direct Seeded Irrigated(OT)","FDSI OT","","6/17/2022",""
"A00510","01","2023","0013","820","Winter Transplanted Irrigated(OT)","WTI OT","","6/17/2022",""
"A00510","01","2023","0016","005","Summerfallow","SUMRFALLOW","","11/16/2022",""
"A00510","01","2023","0016","702","Organic(Certified) Irr.","IRR OC","","6/17/2022",""
"A00510","01","2023","0016","722","Water Fallow(OT)","H2OFALL OT","","11/28/2022",""
