"RECORD_TYPE_CODE","RECORD_CATEGORY_CODE","REINSURANCE_YEAR","COMMODITY_CODE","TYPE_CODE","TYPE_NAME","TYPE_ABBREVIATION","LAST_RELEASED_DATE","RELEASED_DATE","DELETED_DATE"
"A00540","01","2023","0011","011","Winter","W","","6/17/2022",""
"A00540","01","2023","0011","012","Spring","S","","6/17/2022",""
"A00540","01","2023","0011","017","Khorasan (Spring)","KS","","6/17/2022",""
"A00540","01","2023","0011","018","Durum (Spring)","DS","","6/17/2022",""
"A00540","01","2023","0011","019","Durum (Winter)","DW","","6/17/2022",""
"A00540","01","2023","0012","001","Rabbiteye","RTE","","8/9/2022",""
"A00540","01","2023","0012","002","Highbush","HB","","8/9/2022",""
"A00540","01","2023","0012","004","Lowbush","LB","","8/9/2022",""
"A00540","01","2023","0012","006","Early To Late Highbush (Group B)","ELH-B","","8/9/2022",""
"A00540","01","2023","0012","007","Very Late Highbush & Rabbiteye (Group A)","LHR-A","","8/9/2022",""
"A00540","01","2023","0013","170","Reds","R","","6/17/2022",""
"A00540","01","2023","0013","180","Whites","W","","6/17/2022",""
"A00540","01","2023","0013","190","Yellows","Y","","6/17/2022",""
"A00540","01","2023","0013","200","Granex (Non-Storage)","GXNS","","6/17/2022",""
"A00540","01","2023","0013","215","Spring Planted Whites & Yellows","SPWY","","6/17/2022",""
"A00540","01","2023","0013","223","Fall Planted Whites & Yellows (Processed)","FPWYP","","6/17/2022",""
"A00540","01","2023","0013","228","Winter Planted Whites & Yellows","WPWY","","6/17/2022",""
"A00540","01","2023","0013","231","Fall Planted Whites & Yellows (Non-Storage)","FPWYNS","","6/17/2022",""
"A00540","01","2023","0013","232","Spring Planted Whites & Yellows (Non-Storage)","SPWYNS","","6/17/2022",""
"A00540","01","2023","0015","285","Fall Oleic Canola","FOC","","6/17/2022",""
"A00540","01","2023","0015","286","Spring Oleic Canola","SOC","","6/17/2022",""
"A00540","01","2023","0015","287","Fall High Erucic Rapeseed","FHER","","6/17/2022",""
"A00540","01","2023","0015","288","Spring High Erucic Rapeseed","SHER","","6/17/2022",""
"A00540","01","2023","0015","384","Spring High Oleic Canola","SHOC","","11/16/2022",""
"A00540","01","2023","0016","016","Winter","W","","6/17/2022",""
"A00540","01","2023","0016","017","Spring","S","","6/17/2022",""
"A00540","01","2023","0017","050","Proso","PRO","","11/16/2022",""
"A00540","01","2023","0018","451","Short Grain","SHRTGRN","","11/16/2022",""
"A00540","01","2023","0018","452","Medium Grain","MEDGRN","","11/16/2022",""
"A00540","01","2023","0018","453","Long Grain","LNGGRN","","11/16/2022",""
"A00540","01","2023","0019","055","Hass","HASS","","8/9/2022",""
"A00540","01","2023","0019","056","Early Varieties","EV","","8/9/2022",""
"A00540","01","2023","0019","057","Late Varieties","LV","","8/9/2022",""
"A00540","01","2023","0019","058","Mid Varieties","MV","","8/9/2022",""
"A00540","01","2023","0020","999","All Varieties","AV","","8/9/2022",""
"A00540","01","2023","0021","997","No Type Specified","NTS","","11/16/2022",""
"A00540","01","2023","0022","997","No Type Specified","NTS","","11/16/2022",""
"A00540","01","2023","0023","997","No Type Specified","NTS","","8/9/2022",""
"A00540","01","2023","0024","997","No Type Specified","NTS","","8/9/2022",""
"A00540","01","2023","0028","997","No Type Specified","NTS","","8/9/2022",""
"A00540","01","2023","0029","997","No Type Specified","NTS","","8/9/2022",""
"A00540","01","2023","0031","012","Spring","S","","11/16/2022",""
"A00540","01","2023","0032","054","Red Clover","RC","","4/14/2022",""
"A00540","01","2023","0032","056","Birdsfoot Trefoil","BT","","4/14/2022",""
"A00540","01","2023","0032","057","Birdsfoot Trefoil Grass Mixture","BTGM","","4/14/2022",""
"A00540","01","2023","0032","824","Alfalfa 60-89","A6089","","4/14/2022",""
"A00540","01","2023","0032","825","Alfalfa 90-100","A90100","","4/14/2022",""
"A00540","01","2023","0033","058","Grass","GRASS","","6/17/2022",""
"A00540","01","2023","0033","554","Red Clover","RC","","6/17/2022",""
"A00540","01","2023","0033","556","Birdsfoot Trefoil","BT","","6/17/2022",""
"A00540","01","2023","0033","557","Birdsfoot Trefoil  Grass Mixture","BTGM","","6/17/2022",""
"A00540","01","2023","0033","822","Alfalfa 1-24","AA124","","6/17/2022",""
"A00540","01","2023","0033","823","Alfalfa 25-59","AA2559","","6/17/2022",""
"A00540","01","2023","0033","824","Alfalfa 60-89","AA6089","","6/17/2022",""
"A00540","01","2023","0033","825","Alfalfa 90-100","AA90100","","6/17/2022",""
"A00540","01","2023","0033","826","Orchardgrass","ORGRS","","6/17/2022",""
"A00540","01","2023","0033","827","Timothy","TMTHY","","6/17/2022",""
"A00540","01","2023","0034","101","Fresh","FRESH","","8/9/2022",""
"A00540","01","2023","0034","102","Processing","PROC","","8/9/2022",""
"A00540","01","2023","0034","107","Early Season (Fresh)","ERSNF","","8/9/2022",""
"A00540","01","2023","0034","108","Mid Season (Fresh)","MDSNF","","8/9/2022",""
"A00540","01","2023","0034","109","Late Season (Fresh)","LTSNF","","8/9/2022",""
"A00540","01","2023","0036","997","No Type Specified","NTS","","8/9/2022",""
"A00540","01","2023","0037","997","No Type Specified","NTS","","4/7/2022",""
"A00540","01","2023","0038","997","No Type Specified","NTS","","6/17/2022",""
"A00540","01","2023","0039","997","No Type Specified","NTS","","4/7/2022",""
"A00540","01","2023","0041","009","Seed","SEED","","6/17/2022",""
"A00540","01","2023","0041","016","Grain","GSG","","6/17/2022",""
"A00540","01","2023","0041","026","Silage","GSS","","6/17/2022",""
"A00540","01","2023","0041","341","White","WHITE","","11/16/2022",""
"A00540","01","2023","0041","381","Waxy","WAXY","","11/16/2022",""
